,95.0
1615,95.22
1616,95.0711
1617,95.08
1618,95.06
1619,95.0336
1620,95.0
1621,94.9
1622,94.7904
1623,94.78
1624,94.8025
1625,94.78
1626,94.7217
1627,94.79299999999999
1628,95.1448
1629,95.35
1630,95.72
1631,95.43
1632,95.37
1633,95.03
1634,95.31
1635,95.36
1636,95.29
1637,95.35
1638,95.29
1639,95.3076
1640,95.31
1641,95.44
1642,95.475
1643,95.84
1644,95.66
1645,95.72
1646,95.86
1647,95.87
1648,95.92
1649,96.07
1650,96.76
1651,96.785
1652,96.64
1653,96.609
1654,96.615
1655,96.54
1656,96.48
1657,96.44
1658,96.47
1659,96.42
1660,96.21
1661,96.435
1662,96.811
1663,96.73
1664,96.735
1665,96.57
1666,96.47
1667,96.38
1668,96.36
1669,96.39
1670,96.285
1671,96.4199
1672,96.5
1673,96.49
1674,96.44
1675,96.51
1676,96.29
1677,96.0
1678,95.98
1679,95.8433
1680,96.11
1681,96.075
1682,96.065
1683,95.925
1684,95.87
1685,95.67
1686,95.8
1687,95.6908
1688,95.66
1689,95.46
1690,95.36
1691,95.36
1692,95.375
1693,95.275
1694,95.21
1695,95.15
1696,95.15
1697,95.15
1698,95.46
1699,95.36
1700,95.4684
1701,95.445
1702,95.4182
1703,95.28
1704,95.2401
1705,95.36
1706,95.34
1707,95.3
1708,95.4
1709,95.45
1710,95.32
1711,95.27
1712,95.3
1713,95.2401
1714,95.38
1715,95.449
1716,95.45
1717,95.68
1718,95.5
1719,95.5
1720,95.475
1721,95.49
1722,95.57
1723,95.56
1724,95.65
1725,95.6364
1726,95.64
1727,95.68
1728,95.5635
1729,95.6
1730,95.615
1731,95.725
1732,95.52
1733,95.49
1734,95.325
1735,95.42
1736,95.445
1737,95.51
1738,95.52
1739,95.55
1740,95.5608
1741,95.5724
1742,95.6375
1743,95.53
1744,95.39
1745,95.27
1746,95.4588
1747,95.45
1748,95.28
1749,95.2
1750,95.2
1751,95.2
1752,95.02
1753,95.1
1754,95.065
1755,95.0101
1756,95.0
1757,95.03
1758,95.07
1759,95.0
1760,95.02
1761,95.2
1762,95.18
1763,95.13
1764,95.11
1765,95.02
1766,95.005
1767,95.4302
1768,95.06
1769,95.02
1770,95.0098
1771,95.04
1772,95.0005
1773,95.03
1774,95.0
1775,95.06
1776,95.0
1777,94.8926
1778,94.88
1779,94.87
1780,94.88
1781,95.02
1782,95.07
1783,95.14
1784,95.24
1785,95.25
1786,95.325
1787,95.5
1788,95.4397
1789,95.385
1790,95.47
1791,95.51
1792,95.53
1793,95.65
1794,95.7
1795,95.7599
1796,95.76
1797,95.84
1798,95.84
1799,96.175
1800,96.25
1801,96.25
